"名称","種別","所在地","新指定年月日"
"白旗山八幡宮のオハツキイチョウ","天然記念物","茨城県水戸市",29/04/02
"大戸のサクラ","天然記念物","茨城県茨城町",32/07/23
"愛宕山古墳","史跡","茨城県水戸市",34/05/01
"関城跡","史跡","茨城県関城町",34/05/01
"大宝城跡","史跡","茨城県関城町・下妻市",34/05/01
"片庭ヒメハルゼミ発生地","天然記念物","茨城県笠間市",34/12/28
"小田城跡","史跡","茨城県つくば市",35/06/07
"新治廃寺跡附上野原瓦窯跡","史跡","茨城県協和町・岩瀬町",42/07/21
"佐久良東雄旧宅","史跡","茨城県八郷町",44/03/07
"新治郡衙跡","史跡","茨城県協和町",68/05/20
"馬渡埴輪製作遺跡","史跡","茨城県ひたちなか市",69/08/05
"大串貝塚","史跡","茨城県水戸市",70/05/11
"虎塚古墳","史跡","茨城県ひたちなか市",74/01/23
"桜川のサクラ","天然記念物","茨城県岩瀬町",74/07/16
"上高津貝塚","史跡","茨城県土浦市",77/10/04
"平沢官衙遺跡","史跡","茨城県つくば市",80/12/04
"広畑貝塚","史跡","茨城県桜川村",82/02/27
"鹿島神宮境内附郡家跡","史跡","茨城県鹿嶋市",86/08/04
"小幡北山埴輪製作遺跡","史跡","茨城県茨城町",92/01/21
"真壁城跡","史跡","茨城県真壁町",94/10/28
"陸平貝塚","史跡","茨城県美浦村",98/09/11
"下野薬師寺跡","史跡","栃木県南河内町",21/03/03
"下野国分寺跡","史跡","栃木県国分寺町",21/03/03
"足利学校跡(聖廟および附属建物を含む)","史跡","栃木県足利市",21/03/03
"コウシンソウ自生地","特別天然記念物","栃木県足尾町",21/03/03
"小金井一里塚","史跡","栃木県国分寺町",22/03/08
"日光杉並木街道附並木寄進碑","特別史跡・特別天然記念物","栃木県日光市・今市市",22/03/08
"足利氏宅跡(鑁阿寺)","史跡","栃木県足利市",22/03/08
"湯沢噴泉塔","天然記念物","栃木県栗山村",22/03/08
"大谷磨崖仏","特別史跡","栃木県宇都宮市",26/02/24
"佐貫石仏","史跡","栃木県塩谷町",26/02/24
"琵琶塚古墳","史跡","栃木県小山市",26/02/24
"愛宕塚古墳","史跡","栃木県壬生町",26/02/24
"車塚古墳","史跡","栃木県壬生町",26/02/24
"牛塚古墳","史跡","栃木県壬生町",26/02/24
"壬生一里塚","史跡","栃木県壬生町",28/03/24
"華厳瀑および中宮祠湖(中禅寺湖)湖畔","名勝","栃木県日光市",31/03/30
"桜町陣屋跡","史跡","栃木県二宮町",32/03/25
"唐御所横穴","史跡","栃木県馬頭町",34/12/28
"金剛ザクラ","天然記念物","栃木県日光市",36/12/16
"逆スギ","天然記念物","栃木県塩原町",37/04/17
"名草の巨石群","天然記念物","栃木県足利市",39/09/07
"侍塚古墳","史跡","栃木県湯津上村",51/06/09
"茶臼山古墳","史跡","栃木県壬生町",58/06/28
"下野国分尼寺跡","史跡","栃木県国分寺町",65/04/09
"専修寺境内","史跡","栃木県二宮町",67/07/06
"吾妻古墳","史跡","栃木県栃木市・壬生町",70/07/22
"那須官衙遺跡","史跡","栃木県小川町",76/06/07
"飛山城跡","史跡","栃木県宇都宮市",77/03/08
"乙女不動原瓦窯跡","史跡","栃木県小山市",78/05/11
"摩利支天塚古墳","史跡","栃木県小山市",78/07/21
"駒形大塚古墳","史跡","栃木県小川町",79/03/13
"下野国庁跡","史跡","栃木県栃木市",82/10/12
"那須神田城跡","史跡","栃木県小川町",84/07/06
"根古谷台遺跡","史跡","栃木県宇都宮市",88/05/17
"小山氏城跡　　鷲城跡　 祇園城跡","史跡","栃木県小山市",91/03/12
"寺野東遺跡","史跡","栃木県小山市",95/11/08
"日光山内","史跡","栃木県日光市",98/05/14
"樺崎寺跡","史跡","栃木県足利市",01/01/29
"多胡碑","特別史跡","群馬県吉井町",21/03/03
"山上碑および古墳","特別史跡","群馬県高崎市",21/03/03
"金井沢碑","特別史跡","群馬県高崎市",21/03/03
"妙義山","名勝","群馬県妙義町・下仁田町・松井田町",23/03/07
"上野国分寺跡","史跡","群馬県群馬町・前橋市",26/10/20
"浅間山古墳","史跡","群馬県高崎市",27/04/08
"大鶴巻古墳","史跡","群馬県高崎市",27/04/08
"女体山古墳","史跡","群馬県太田市",27/04/08
"前二子古墳","史跡","群馬県前橋市",27/04/08
"中二子古墳","史跡","群馬県前橋市",27/04/08
"後二子古墳ならびに小古墳","史跡","群馬県前橋市",27/04/08
"二子山古墳","史跡","群馬県前橋市",27/04/08
"滝沢石器時代遺跡","史跡","群馬県赤城村",27/04/08
"二子山古墳","史跡","群馬県前橋市",27/06/14
