"都道府県コード","都道府県・市区町村コード","都道府県名","都道府県・市区町村名","（人）","（km2）","（人/km2）"
"01","01304","北海道","新篠津村",3329,78.04,42.7
"01","01331","北海道","松前町",7337,293.25,25
"01","01332","北海道","福島町",4422,187.28,23.6
"01","01333","北海道","知内町",4653,196.75,23.6
"01","01334","北海道","木古内町",4547,221.87,20.5
"01","01337","北海道","七飯町",28120,216.75,129.7
"01","01343","北海道","鹿部町",4226,110.64,38.2
"01","01345","北海道","森町",15946,368.79,43.2
"01","01346","北海道","八雲町",17252,956.07,18
"01","01347","北海道","長万部町",5926,310.76,19.1
"01","01361","北海道","江差町",8248,109.53,75.3
"01","01362","北海道","上ノ国町",4876,547.71,8.9
"01","01363","北海道","厚沢部町",4049,460.58,8.8
"01","01364","北海道","乙部町",3906,162.59,24
"01","01367","北海道","奥尻町",2690,142.97,18.8
"01","01370","北海道","今金町",5628,568.25,9.9
"01","01371","北海道","せたな町",8473,638.69,13.3
"01","01391","北海道","島牧村",1499,437.18,3.4
"01","01392","北海道","寿都町",3137,95.24,32.9
"01","01393","北海道","黒松内町",3082,345.65,8.9
"01","01394","北海道","蘭越町",4843,449.78,10.8
"01","01395","北海道","ニセコ町",4958,197.13,25.2
"01","01396","北海道","真狩村",2103,114.25,18.4
"01","01397","北海道","留寿都村",1907,119.84,15.9
"01","01398","北海道","喜茂別町",2294,189.41,12.1
"01","01399","北海道","京極町",3187,231.49,13.8
"01","01400","北海道","倶知安町",15018,261.34,57.5
"01","01401","北海道","共和町",6224,304.91,20.4
"01","01402","北海道","岩内町",13042,70.6,184.7
"01","01403","北海道","泊村",1771,82.28,21.5
"01","01404","北海道","神恵内村",1004,147.8,6.8
"01","01405","北海道","積丹町",2115,238.14,8.9
"01","01406","北海道","古平町",3188,188.36,16.9
"01","01407","北海道","仁木町",3498,167.96,20.8
"01","01408","北海道","余市町",19607,140.59,139.5
"01","01409","北海道","赤井川村",1121,280.09,4
"01","01423","北海道","南幌町",7927,81.36,97.4
"01","01424","北海道","奈井江町",5674,88.19,64.3
"01","01425","北海道","上砂川町",3479,39.98,87
"01","01427","北海道","由仁町",5314,133.74,39.7
"01","01428","北海道","長沼町",11076,168.52,65.7
"01","01429","北海道","栗山町",12344,203.93,60.5
"01","01430","北海道","月形町",4577,150.4,30.4
"01","01431","北海道","浦臼町",1985,101.83,19.5
"01","01432","北海道","新十津川町",6831,495.47,13.8
"01","01433","北海道","妹背牛町",3091,48.64,63.5
"01","01434","北海道","秩父別町",2513,47.18,53.3
"01","01436","北海道","雨竜町",2749,191.15,14.4
"01","01437","北海道","北竜町",1981,158.7,12.5
"01","01438","北海道","沼田町",3181,283.35,11.2
"01","01452","北海道","鷹栖町",7018,139.42,50.3
"01","01453","北海道","東神楽町",10233,68.5,149.4
"01","01454","北海道","当麻町",6689,204.9,32.6
"01","01455","北海道","比布町",3777,86.9,43.5
"01","01456","北海道","愛別町",2976,250.13,11.9
"01","01457","北海道","上川町",4044,1049.47,3.9
"01","01458","北海道","東川町",8111,247.3,32.8
"01","01459","北海道","美瑛町",10292,676.78,15.2
"01","01460","北海道","上富良野町",10826,237.1,45.7
"01","01461","北海道","中富良野町",5069,108.65,46.7
"01","01462","北海道","南富良野町",2555,665.54,3.8
"01","01463","北海道","占冠村",1211,571.41,2.1
"01","01464","北海道","和寒町",3596,225.11,16
"01","01465","北海道","剣淵町",3228,130.99,24.6
"01","01468","北海道","下川町",3547,644.2,5.5
"01","01469","北海道","美深町",4659,672.09,6.9
"01","01470","北海道","音威子府村",832,275.63,3
"01","01471","北海道","中川町",1767,594.74,3
"01","01472","北海道","幌加内町",1525,767.04,2
"01","01481","北海道","増毛町",4497,369.71,12.2
"01","01482","北海道","小平町",3336,627.22,5.3
"01","01483","北海道","苫前町",3265,454.6,7.2
"01","01484","北海道","羽幌町",7327,472.65,15.5
"01","01485","北海道","初山別村",1217,279.51,4.4
"01","01486","北海道","遠別町",2806,590.8,4.7
"01","01487","北海道","天塩町",3243,353.56,9.2
"01","01511","北海道","猿払村",2684,589.97,4.5
"01","01512","北海道","浜頓別町",3881,401.64,9.7
"01","01513","北海道","中頓別町",1757,398.51,4.4
"01","01514","北海道","枝幸町",8437,1115.93,7.6
"01","01516","北海道","豊富町",4054,520.69,7.8
"01","01517","北海道","礼文町",2773,81.64,34
"01","01518","北海道","利尻町",2303,76.51,30.1
"01","01519","北海道","利尻富士町",2787,105.61,26.4
"01","01520","北海道","幌延町",2447,574.1,4.3
"01","01543","北海道","美幌町",20296,438.41,46.3
"01","01544","北海道","津別町",5008,716.8,7
"01","01545","北海道","斜里町",12231,737.12,16.6
"01","01546","北海道","清里町",4221,402.76,10.5
"01","01547","北海道","小清水町",5085,286.89,17.7
