"名称","種別","所在地"
"山梨岡神社本殿","神社","山梨県牧丘町"
"中牧神社本殿","神社","山梨県春日居町"
"大善寺本堂","寺院","山梨県勝沼町"
"浅間神社摂社山宮神社本殿","神社","山梨県一宮町"
"慈眼寺","寺院","山梨県一宮町"
"門西家住宅","民家","山梨県下部町"
"本遠寺","寺院","山梨県身延町"
"最恩寺仏殿","寺院","山梨県富沢町"
"長谷寺本堂","寺院","山梨県八田村"
"安藤家住宅","民家","山梨県甲西町"
"光照寺薬師堂","寺院","山梨県双葉町"
"八代家住宅","民家","山梨県明野村"
"旧平田家住宅","民家","山梨県小淵沢町"
"富士御室浅間神社本殿","神社","山梨県勝山村"
"観音堂","寺院","山梨県小菅村"
"善光寺本堂","寺院","長野県長野市"
"葛山落合神社本殿","神社","長野県長野市"
"真田信重霊屋","神社","長野県長野市"
"真田信之霊屋","神社","長野県長野市"
"旧横田家住宅","民家","長野県長野市"
"善光寺三門","寺院","長野県長野市"
"善光寺経蔵","寺院","長野県長野市"
"筑摩神社本殿","神社","長野県松本市"
"松本城天守","城郭","長野県松本市"
"若宮八幡社本殿","神社","長野県松本市"
"旧開智学校校舎","学校建築","長野県松本市"
"馬場家住宅","民家","長野県松本市"
"安楽寺八角三重塔","寺院","長野県上田市"
"国分寺三重塔","寺院","長野県上田市"
"前山寺三重塔","寺院","長野県上田市"
"中禅寺薬師堂","寺院","長野県上田市"
"常楽寺多宝塔","近代以前その他","長野県上田市"
"文永寺","近代以前その他","長野県飯田市"
"白山社奥社本殿","神社","長野県飯田市"
"旧小笠原家書院","住宅","長野県飯田市"
"開善寺山門","寺院","長野県飯田市"
"諏訪大社上社","神社","長野県諏訪市"
"釈尊寺観音堂宮殿","寺院","長野県小諸市"
"旧小諸本陣","民家","長野県小諸市"
"小諸城","城郭","長野県小諸市"
"旧竹村家住宅（旧所在　長野県駒ケ根市中沢）","民家","長野県駒ヶ根市"
"光前寺弁天堂","寺院","長野県駒ヶ根市"
"若一王子神社本殿","神社","長野県大町市"
"仁科神明宮","神社","長野県大町市"
"盛蓮寺観音堂","寺院","長野県大町市"
"白山神社本殿","神社","長野県飯山市"
"健御名方富命彦神別神社末社若宮八幡神社本殿","神社","長野県飯山市"
"小菅神社奥社本殿","寺院","長野県飯山市"
"小野家住宅","民家","長野県塩尻市"
"堀内家住宅","民家","長野県塩尻市"
"小松家住宅","民家","長野県塩尻市"
"島崎家住宅","民家","長野県塩尻市"
"駒形神社本殿","神社","長野県佐久市"
"旧中込学校校舎","学校建築","長野県佐久市"
"新海三社神社三重塔","寺院","長野県臼田町"
"六地蔵幢","近代以前その他","長野県臼田町"
"新海三社神社東本社","神社","長野県臼田町"
"旧三笠ホテル","文化施設","長野県軽井沢町"
"真山家住宅","民家","長野県望月町"
"八幡社境内神社高良社本殿（旧八幡社本殿）","神社","長野県浅科村"
"法住寺虚空蔵堂","寺院","長野県丸子町"
"春原家住宅","民家","長野県東部町"
"大法寺三重塔","寺院","長野県青木村"
"大法寺観音堂厨子及び須弥壇","寺院","長野県青木村"
"諏訪大社下社","神社","長野県下諏訪町"
"諏訪社","神社","長野県富士見町"
"遠照寺釈迦堂","寺院","長野県高遠町"
"熱田神社本殿","神社","長野県長谷村"
"竹ノ内家住宅","民家","長野県高森町"
"八幡神社","神社","長野県阿南町"
"大山田神社","神社","長野県下条村"
"諏訪社","神社","長野県泰阜村"
"福徳寺本堂","寺院","長野県大鹿村"
"松下家住宅","民家","長野県大鹿村"
"読書発電所施設","近代化遺産","長野県南木曽町"
"白山神社","神社","長野県大桑村"
"定勝寺本堂","寺院","長野県大桑村"
"定勝寺庫裏","寺院","長野県大桑村"
"定勝寺山門","寺院","長野県大桑村"
"神明社","神社","長野県麻績村"
"田村堂","寺院","長野県波田町"
"松尾寺本堂","寺院","長野県穂高町"
"曾根原家住宅","民家","長野県穂高町"
"大宮熱田神社本殿","神社","長野県梓川村"
"大宮熱田神社若宮八幡宮本殿","神社","長野県梓川村"
"旧中村家住宅","民家","長野県美麻村"
"神明社","神社","長野県白馬村"
"智識寺大御堂","寺院","長野県上山田町"
"水上布奈山神社本殿","神社","長野県戸倉町"
"浄光寺薬師堂","寺院","長野県小布施町"
"佐野神社本殿","神社","長野県山ノ内町"
"白髯神社本殿","神社","長野県鬼無里村"
"国分寺本堂","寺院","岐阜県高山市"
"照蓮寺本堂","寺院","岐阜県高山市"
"吉島家住宅","住居建築","岐阜県高山市"
"日下部家住宅","住居建築","岐阜県高山市"
"旧田中家住宅（旧所在　岐阜県高山市冬頭町）","民家","岐阜県高山市"
"松本家住宅","民家","岐阜県高山市"
"旧田口家住宅（旧所在　岐阜県益田郡金山町）","民家","岐阜県高山市"
"旧若山家住宅（旧所在　岐阜県大野郡荘川村）","民家","岐阜県高山市"
"旧吉真家住宅(旧所在 岐阜県吉城郡河合村)","民家","岐阜県高山市"
"永保寺開山堂","寺院","岐阜県多治見市"
"永保寺観音堂","寺院","岐阜県多治見市"
"新長谷寺本堂","寺院","岐阜県関市"
"新長谷寺三重塔","寺院","岐阜県関市"
"新長谷寺釈迦堂","寺院","岐阜県関市"
"新長谷寺阿弥陀堂","寺院","岐阜県関市"
"新長谷寺大師堂","寺院","岐阜県関市"
"新長谷寺鎮守堂","神社","岐阜県関市"
"新長谷寺薬師堂","寺院","岐阜県関市"
"新長谷寺客殿","住宅","岐阜県関市"
"長蔵寺舎利塔及び須弥壇","寺院","岐阜県美濃市"
"鹿苑寺地蔵堂","寺院","岐阜県美濃市"
"小坂家住宅","民家","岐阜県美濃市"
"大矢田神社","神社","岐阜県美濃市"
"武並神社本殿","神社","岐阜県恵那市"
"旧太田脇本陣林家住宅","民家","岐阜県美濃加茂市"
"桑原家住宅","民家","岐阜県上石津町"
"南宮神社","神社","岐阜県垂井町"
"真禅院","寺院","岐阜県垂井町"
"日吉神社三重塔","寺院","岐阜県神戸町"
"牧村家住宅","民家","岐阜県大野町"
"円鏡寺楼門","寺院","岐阜県北方町"
"白山神社拝殿","神社","岐阜県高富町"
"日竜峯寺多宝塔","寺院","岐阜県武儀町"
"明鏡寺観音堂","寺院","岐阜県八百津町"
"旧八百津発電所施設","近代化遺産","岐阜県八百津町"
"願興寺本堂","寺院","岐阜県御嵩町"
"久津八幡宮拝殿","神社","岐阜県萩原町"
"久津八幡宮本殿","神社","岐阜県萩原町"
"旧大戸家住宅（旧所在 岐阜県大野郡白川村）","民家","岐阜県下呂町"
"荒川家住宅","民家","岐阜県丹生川村"
"旧遠山家住宅","民家","岐阜県白川村"
"和田家住宅","民家","岐阜県白川村"
"荒城神社本殿","神社","岐阜県国府町"
"安国寺経蔵","寺院","岐阜県国府町"
"阿多由太神社本殿","神社","岐阜県国府町"
"熊野神社本殿","神社","岐阜県国府町"
"薬師堂","寺院","岐阜県神岡町"
"久能山東照宮","神社","静岡県静岡市"
"神部神社浅間神社","神社","静岡県静岡市"
"臨済寺本堂","寺院","静岡県静岡市"
"大歳御祖神社","神社","静岡県静岡市"
"霊山寺仁王門","寺院","静岡県清水市"
"富士山本宮浅間神社本殿","神社","静岡県富士宮市"
"大石寺五重塔","寺院","静岡県富士宮市"
"智満寺本堂","寺院","静岡県島田市"
"掛川城御殿","住宅","静岡県掛川市"
"富士浅間宮本殿","神社","静岡県袋井市"
"油山寺山門","城郭","静岡県袋井市"
"尊永寺仁王門","寺院","静岡県袋井市"
"油山寺三重塔","寺院","静岡県袋井市"
"油山寺本堂内厨子","寺院","静岡県袋井市"
"旧植松家住宅（旧所在　静岡県裾野市石脇）","民家","静岡県裾野市"
"本興寺本堂","寺院","静岡県湖西市"
"旧岩科学校校舎","学校建築","静岡県松崎町"
"江川家住宅","民家","静岡県韮山町"
"大鐘家住宅","民家","静岡県相良町"
"黒田家住宅","民家","静岡県小笠町"
"応声教院山門","寺院","静岡県菊川町"
"友田家住宅","民家","静岡県森町"
"中村家住宅","民家","静岡県雄踏町"
"寶林寺","寺院","静岡県細江町"
"方広寺七尊菩薩堂","神社","静岡県引佐町"
"浜名惣社神明宮本殿","神社","静岡県三ヶ日町"
"旧宝寿院宝篋印塔","近代以前その他","愛知県名古屋市千種区"
"旧名古屋控訴院地方裁判所区裁判所庁舎","官公庁舎","愛知県名古屋市東区"
"名古屋城","城郭","愛知県名古屋市中区"
"名古屋城二之丸大手二之門","城郭","愛知県名古屋市中区"
"名古屋城旧二之丸東二之門","城郭","愛知県名古屋市中区"
"興正寺五重塔","寺院","愛知県名古屋市昭和区"
"観音寺多宝塔","寺院","愛知県名古屋市中川区"
"富部神社本殿","神社","愛知県名古屋市南区"
"竜泉寺仁王門","寺院","愛知県名古屋市守山区"
"東観音寺多宝塔","寺院","愛知県豊橋市"
"滝山寺三門","寺院","愛知県岡崎市"
"妙源寺柳堂","寺院","愛知県岡崎市"
"大樹寺多宝塔","寺院","愛知県岡崎市"
"信光明寺観音堂","寺院","愛知県岡崎市"
"伊賀八幡宮","神社","愛知県岡崎市"
"八幡宮本殿","神社","愛知県岡崎市"
"八幡宮本殿","神社","愛知県岡崎市"
"六所神社","神社","愛知県岡崎市"
"滝山東照宮","神社","愛知県岡崎市"
"旧額田郡公会堂及物産陳列所","文化施設","愛知県岡崎市"
"滝山寺本堂","寺院","愛知県岡崎市"
"妙興寺勅使門","寺院","愛知県一宮市"
"定光寺本堂","寺院","愛知県瀬戸市"
"源敬公（徳川義直）廟","近代以前その他","愛知県瀬戸市"
"旧中埜家住宅","住居建築","愛知県半田市"
"密蔵院多宝塔","寺院","愛知県春日井市"
"三明寺三重塔","寺院","愛知県豊川市"
"八幡宮本殿","神社","愛知県豊川市"
"財賀寺","寺院","愛知県豊川市"
"三明寺本堂内宮殿","寺院","愛知県豊川市"
"津島神社本殿","神社","愛知県津島市"
"堀田家住宅","民家","愛知県津島市"
"津島神社楼門","神社","愛知県津島市"
"久麻久神社本殿","神社","愛知県西尾市"
"犬山城天守","城郭","愛知県犬山市"
"如庵","住宅","愛知県犬山市"
"旧西郷従道住宅","住居建築","愛知県犬山市"
"旧伊勢郵便局舎（宇治山田郵便局舎）","官公庁舎","愛知県犬山市"
"大縣神社","神社","愛知県犬山市"
"旧正伝院書院","住宅","愛知県犬山市"
"旧日本聖公会京都聖約翰＊教会堂","宗教建築","愛知県犬山市"
"旧山梨県東山梨郡役所","官公庁舎","愛知県犬山市"
"旧品川燈台","その他近代","愛知県犬山市"
"旧菅島燈台付属官舎","住居建築","愛知県犬山市"
"旧三重県庁舎","官公庁舎","愛知県犬山市"
"旧札幌電話交換局舎","官公庁舎","愛知県犬山市"
"旧東松家住宅（旧所在　愛知県名古屋市中村区舟入町）","住居建築","愛知県犬山市"
"旧呉服座","文化施設","愛知県犬山市"
"曼陀羅寺正堂","寺院","愛知県江南市"
"曼陀羅寺書院","住宅","愛知県江南市"
"万徳寺多宝塔","寺院","愛知県稲沢市"
"性海寺多宝塔","寺院","愛知県稲沢市"
"長光寺地蔵堂","寺院","愛知県稲沢市"
"尾張大国霊神社楼門","神社","愛知県稲沢市"
"万徳寺鎮守堂","神社","愛知県稲沢市"
"性海寺本堂及び宝塔","寺院","愛知県稲沢市"
"尾張大国霊神社拝殿","神社","愛知県稲沢市"
"望月家住宅","民家","愛知県新城市"
"観福寺本堂内宮殿","寺院","愛知県東海市"
"知立神社多宝塔","寺院","愛知県知立市"
"高田寺本堂","寺院","愛知県師勝町"
"甚目寺南大門","寺院","愛知県甚目寺町"
"甚目寺","寺院","愛知県甚目寺町"
"富吉建速神社本殿","神社","愛知県蟹江町"
"八劔社本殿","神社","愛知県蟹江町"
"服部家住宅","民家","愛知県弥富町"
"金蓮寺弥陀堂","寺院","愛知県吉良町"
"幡頭神社本殿","神社","愛知県吉良町"
"天恩寺仏殿","寺院","愛知県額田町"
"天恩寺山門","寺院","愛知県額田町"
"足助八幡宮本殿","神社","愛知県足助町"
"熊谷家住宅","民家","愛知県豊根村"
"東照宮","神社","愛知県鳳来町"
"鳳来寺仁王門","寺院","愛知県鳳来町"
"専修寺御影堂","寺院","三重県津市"
"専修寺如来堂","寺院","三重県津市"
"四日市旧港港湾施設","近代化遺産","三重県四日市市"
"末広橋梁（旧四日市港駅鉄道橋）","その他近代","三重県四日市市"
"金剛證寺本堂","寺院","三重県伊勢市"
"来迎寺本堂","寺院","三重県松阪市"
"旧諸戸家住宅","住居建築","三重県桑名市"
"高倉神社","神社","三重県上野市"
"猪田神社本殿","神社","三重県上野市"
"射手神社十三重塔（南方塔）","近代以前その他","三重県上野市"
"町井家住宅","民家","三重県上野市"
"庫蔵寺本堂","寺院","三重県鳥羽市"
"庫蔵寺鎮守堂","神社","三重県鳥羽市"
"地蔵院","寺院","三重県関町"
"国津神社十三重塔","近代以前その他","三重県美杉村"
"観菩提寺本堂","寺院","三重県島ヶ原村"
"観菩提寺楼門","寺院","三重県島ヶ原村"
"大村神社宝殿","神社","三重県青山町"
"石山寺本堂","寺院","滋賀県大津市"
"延暦寺根本中堂","寺院","滋賀県大津市"
"園城寺大門（仁王門）","寺院","滋賀県大津市"
"日吉大社西本宮本殿及び拝殿","神社","滋賀県大津市"
"春日神社本殿","神社","滋賀県大津市"
"圓満院宸殿","住宅","滋賀県大津市"
"西教寺客殿","住宅","滋賀県大津市"
"和田神社本殿","神社","滋賀県大津市"
"地主神社本殿","神社","滋賀県大津市"
"神田神社本殿","神社","滋賀県大津市"
"聖衆来迎寺客殿","住宅","滋賀県大津市"
"膳所神社表門","城郭","滋賀県大津市"
"篠津神社表門","城郭","滋賀県大津市"
"不動寺本堂","寺院","滋賀県大津市"
"長安寺宝塔","近代以前その他","滋賀県大津市"
"大津別院本堂","寺院","滋賀県大津市"
"盛安寺客殿","住宅","滋賀県大津市"
"明王院","寺院","滋賀県大津市"
"蘆花浅水荘","住居建築","滋賀県大津市"
"石山寺多宝塔","寺院","滋賀県大津市"
"延暦寺根本中堂廻廊","寺院","滋賀県大津市"
"園城寺新羅善神堂","神社","滋賀県大津市"
"日吉大社東本宮本殿及び拝殿","神社","滋賀県大津市"
"西教寺本堂","寺院","滋賀県大津市"
"地主神社幣殿","神社","滋賀県大津市"
"大津別院書院","住宅","滋賀県大津市"
"石山寺東大門","寺院","滋賀県大津市"
"延暦寺転法輪堂","寺院","滋賀県大津市"
"勧学院客殿","住宅","滋賀県大津市"
"日吉大社摂社宇佐宮本殿及び拝殿","神社","滋賀県大津市"
"石山寺鐘楼","寺院","滋賀県大津市"
"延暦寺戒壇院","寺院","滋賀県大津市"
"光浄院客殿","住宅","滋賀県大津市"
"日吉大社摂社樹下神社本殿及び拝殿","神社","滋賀県大津市"
"石山寺宝篋印塔","近代以前その他","滋賀県大津市"
"延暦寺瑠璃堂","寺院","滋賀県大津市"
"園城寺金堂","寺院","滋賀県大津市"
"日吉大社摂社白山姫神社本殿及び拝殿","神社","滋賀県大津市"
"延暦寺相輪塔＊","宗教建築","滋賀県大津市"
"園城寺閼伽井屋","寺院","滋賀県大津市"
"日吉大社摂社牛尾神社本殿及び拝殿","神社","滋賀県大津市"
"延暦寺常行堂及び法華堂","寺院","滋賀県大津市"
"園城寺一切経蔵（経堂）","寺院","滋賀県大津市"
"日吉大社摂社三宮神社本殿及び拝殿","神社","滋賀県大津市"
"延暦寺大講堂（旧東照宮本地堂）","寺院","滋賀県大津市"
"園城寺塔婆（三重塔）","寺院","滋賀県大津市"
"日吉大社西本宮楼門","神社","滋賀県大津市"
"園城寺食堂（釈迦堂）","寺院","滋賀県大津市"
"日吉大社末社東照宮","神社","滋賀県大津市"
"園城寺毘沙門堂","寺院","滋賀県大津市"
"日吉大社日吉三橋","近代以前その他","滋賀県大津市"
"園城寺唐院","寺院","滋賀県大津市"
"日吉大社東本宮楼門","神社","滋賀県大津市"
"園城寺鐘楼","寺院","滋賀県大津市"
"千代神社本殿","神社","滋賀県彦根市"
"彦根城天守、附櫓及び多聞櫓","城郭","滋賀県彦根市"
"長寿院弁才天堂","寺院","滋賀県彦根市"
"彦根城太鼓門及び続櫓","城郭","滋賀県彦根市"
"彦根城天秤櫓","城郭","滋賀県彦根市"
"彦根城西の丸三重櫓及び続櫓","城郭","滋賀県彦根市"
"彦根城二の丸佐和口多聞櫓","城郭","滋賀県彦根市"
"彦根城馬屋","城郭","滋賀県彦根市"
"大通寺本堂","寺院","滋賀県長浜市"
"大通寺広間","住宅","滋賀県長浜市"
"大通寺含山軒及び蘭亭","住宅","滋賀県長浜市"
"長命寺本堂","寺院","滋賀県近江八幡市"
"小田神社楼門","神社","滋賀県近江八幡市"
"八幡社本殿","神社","滋賀県近江八幡市"
"五重塔","近代以前その他","滋賀県近江八幡市"
"旧西川家住宅","民家","滋賀県近江八幡市"
"長命寺三重塔","寺院","滋賀県近江八幡市"
"長命寺鐘楼","寺院","滋賀県近江八幡市"
"長命寺護摩堂","寺院","滋賀県近江八幡市"
"布施神社本殿","神社","滋賀県八日市市"
"観音寺阿弥陀堂","寺院","滋賀県草津市"
"老杉神社本殿","神社","滋賀県草津市"
"石津寺本堂","寺院","滋賀県草津市"
"伊砂砂神社本殿","神社","滋賀県草津市"
"新宮神社本殿","神社","滋賀県草津市"
"鞭崎神社表門","城郭","滋賀県草津市"
"志那神社本殿","神社","滋賀県草津市"
"観音寺書院","住宅","滋賀県草津市"
"小津神社本殿","神社","滋賀県守山市"
"勝部神社本殿","神社","滋賀県守山市"
"懸所宝塔","近代以前その他","滋賀県守山市"
"最明寺五重塔","近代以前その他","滋賀県守山市"
"東門院五重塔","近代以前その他","滋賀県守山市"
"天皇神社本殿","神社","滋賀県志賀町"
"小野神社境内社篁神社本殿","神社","滋賀県志賀町"
"小野神社飛地境内社道風神社本殿","神社","滋賀県志賀町"
"大野神社楼門","神社","滋賀県栗東町"
"春日神社表門","神社","滋賀県栗東町"
"宇和宮神社本殿","神社","滋賀県栗東町"
"大角家住宅","民家","滋賀県栗東町"
"小槻大社本殿","神社","滋賀県栗東町"
"安養寺十三重塔","近代以前その他","滋賀県栗東町"
"大宝神社境内社追来神社本殿","神社","滋賀県栗東町"
"御上神社本殿","神社","滋賀県野洲町"
"大笹原神社本殿","神社","滋賀県野洲町"
"生和神社本殿","神社","滋賀県野洲町"
"稲荷神社境内社古宮神社本殿","神社","滋賀県野洲町"
"大行事神社本殿","神社","滋賀県野洲町"
"日吉神社本殿","神社","滋賀県野洲町"
"圓光寺本堂","寺院","滋賀県野洲町"
"春日神社神門","神社","滋賀県野洲町"
"御上神社拝殿","神社","滋賀県野洲町"
"大笹原神社境内社篠原神社本殿","神社","滋賀県野洲町"
"生和神社末社春日神社本殿","神社","滋賀県野洲町"
"圓光寺九重塔","近代以前その他","滋賀県野洲町"
"御上神社楼門","神社","滋賀県野洲町"
"御上神社摂社若宮神社本殿","神社","滋賀県野洲町"
"長寿寺本堂","寺院","滋賀県石部町"
"常楽寺本堂","寺院","滋賀県石部町"
"吉御子神社本殿","神社","滋賀県石部町"
"白山神社拝殿","神社","滋賀県石部町"
"長寿寺弁天堂","神社","滋賀県石部町"
"常楽寺三重塔","寺院","滋賀県石部町"
"善水寺本堂","寺院","滋賀県甲西町"
"多宝塔","近代以前その他","滋賀県甲西町"
"八坂神社本殿（儀俄大宮）","神社","滋賀県水口町"
"加茂神社本殿","神社","滋賀県土山町"
"油日神社本殿","神社","滋賀県甲賀町"
"油日神社楼門及び廻廊","神社","滋賀県甲賀町"
"油日神社拝殿","神社","滋賀県甲賀町"
"新宮神社表門","神社","滋賀県甲南町"
"飯道神社本殿","神社","滋賀県信楽町"
"摠＊見寺三重塔","寺院","滋賀県安土町"
"奥石神社本殿","神社","滋賀県安土町"
"桑実寺本堂","寺院","滋賀県安土町"
"浄厳院","寺院","滋賀県安土町"
"旧宮地家住宅（旧所在　滋賀県長浜市国友町）","民家","滋賀県安土町"
"摠＊見寺三重塔","寺院","滋賀県安土町"
"石塔寺三重塔","近代以前その他","滋賀県蒲生町"
"高木神社","神社","滋賀県蒲生町"
"涌泉寺九重塔","近代以前その他","滋賀県蒲生町"
"赤人寺七重塔","近代以前その他","滋賀県蒲生町"
"石塔寺宝塔","近代以前その他","滋賀県蒲生町"
"石塔寺五輪塔","近代以前その他","滋賀県蒲生町"
"正明寺本堂","寺院","滋賀県日野町"
"比都佐神社宝篋印塔","近代以前その他","滋賀県日野町"
"正法寺宝塔","近代以前その他","滋賀県日野町"
"寂照寺宝篋印塔","近代以前その他","滋賀県日野町"
"鏡神社本殿","神社","滋賀県竜王町"
"苗村神社西本殿","神社","滋賀県竜王町"
"勝手神社本殿","神社","滋賀県竜王町"
"八幡神社宝塔","近代以前その他","滋賀県竜王町"
"鏡神社宝篋印塔","近代以前その他","滋賀県竜王町"
"苗村神社境内社八幡社本殿","神社","滋賀県竜王町"
"苗村神社楼門","神社","滋賀県竜王町"
"苗村神社東本殿","神社","滋賀県竜王町"
"苗村神社境内社十禅師社本殿","神社","滋賀県竜王町"
"苗村神社神輿庫","神社","滋賀県竜王町"
"弘誓寺本堂","寺院","滋賀県五個荘町"
"押立神社本殿","神社","滋賀県湖東町"
"春日神社本殿","神社","滋賀県湖東町"
"押立神社大門","神社","滋賀県湖東町"
"金剛輪寺本堂","寺院","滋賀県秦荘町"
"大行社本殿","神社","滋賀県秦荘町"
"金剛輪寺二天門","寺院","滋賀県秦荘町"
"金剛輪寺三重塔","寺院","滋賀県秦荘町"
"豊満神社四脚門","神社","滋賀県愛知川町"
"西明寺本堂","寺院","滋賀県甲良町"
"甲良神社権殿","神社","滋賀県甲良町"
"西明寺三重塔","寺院","滋賀県甲良町"
"西明寺二天門","寺院","滋賀県甲良町"
"西明寺宝塔","近代以前その他","滋賀県甲良町"
"観音寺","寺院","滋賀県山東町"
"松尾寺九重塔","近代以前その他","滋賀県米原町"
"五村別院","寺院","滋賀県虎姫町"
"都久夫須麻神社本殿","神社","滋賀県びわ町"
"宝厳寺","寺院","滋賀県びわ町"
"宝厳寺五重塔","近代以前その他","滋賀県びわ町"
"西徳寺本堂","寺院","滋賀県木之本町"
"辻家住宅","民家","滋賀県西浅井町"
"田中家住宅","民家","滋賀県西浅井町"
"若宮神社本殿","神社","滋賀県安曇川町"
"白鬚神社本殿","神社","滋賀県高島町"
"大徳寺唐門","寺院","京都府京都市北区"
"眞珠庵通仙院","住宅","京都府京都市北区"
"賀茂別雷神社","神社","京都府京都市北区"
"孤篷庵本堂（方丈）、書院及び忘筌","寺院","京都府京都市北区"
"正傳寺本堂","寺院","京都府京都市北区"
"竜光院本堂及び盤桓廊","寺院","京都府京都市北区"
"大仙院本堂","寺院","京都府京都市北区"
"平野神社本殿","神社","京都府京都市北区"
"黄梅院","寺院","京都府京都市北区"
"玉林院南明庵及び茶室（蓑庵、霞床席）附蓑庵露地","住宅","京都府京都市北区"
"龍源院本堂","寺院","京都府京都市北区"
"興臨院本堂","寺院","京都府京都市北区"
"瑞峯院本堂","寺院","京都府京都市北区"
"聚光院茶室","住宅","京都府京都市北区"
"大徳寺勅使門","寺院","京都府京都市北区"
"眞珠庵本堂","寺院","京都府京都市北区"
"竜光院書院","住宅","京都府京都市北区"
"大仙院書院","住宅","京都府京都市北区"
"玉林院本堂","寺院","京都府京都市北区"
"龍源院表門","寺院","京都府京都市北区"
"興臨院表門","寺院","京都府京都市北区"
"瑞峯院表門","寺院","京都府京都市北区"
"聚光院本堂","寺院","京都府京都市北区"
"大徳寺","寺院","京都府京都市北区"
"眞珠庵庫裏","寺院","京都府京都市北区"
"竜光院兜門","寺院","京都府京都市北区"
"大徳寺鐘楼","寺院","京都府京都市北区"
"大報恩寺本堂（千本釈迦堂）","寺院","京都府京都市上京区"
"北野天満宮","神社","京都府京都市上京区"
"相国寺本堂（法堂）附玄関廊","寺院","京都府京都市上京区"
"引接寺塔婆","近代以前その他","京都府京都市上京区"
"宝篋印塔（鶴の塔）","近代以前その他","京都府京都市上京区"
"表千家祖堂","住宅","京都府京都市上京区"
"裏千家住宅","民家","京都府京都市上京区"
"同志社（旧英学校、神学校及び波理須理科学校）","学校建築","京都府京都市上京区"
"冷泉家住宅","住宅","京都府京都市上京区"
"報土寺","寺院","京都府京都市上京区"
"往生極楽院阿弥陀堂","寺院","京都府京都市左京区"
"南禅寺三門","寺院","京都府京都市左京区"
"金地院本堂","寺院","京都府京都市左京区"
"慈照寺銀閣","住宅","京都府京都市左京区"
"賀茂御祖神社","神社","京都府京都市左京区"
"吉田神社斎場所太元宮","神社","京都府京都市左京区"
"峰定寺本堂及び供水所","寺院","京都府京都市左京区"
"由岐神社拝殿","神社","京都府京都市左京区"
"曼殊院","住宅","京都府京都市左京区"
"西翁院茶室","住宅","京都府京都市左京区"
"来迎院三重塔","近代以前その他","京都府京都市左京区"
"勝林院宝篋印塔","近代以前その他","京都府京都市左京区"
"聖護院書院","住宅","京都府京都市左京区"
"瀧澤家住宅","民家","京都府京都市左京区"
"金戒光明寺三重塔","寺院","京都府京都市左京区"
"眞正極樂寺本堂","寺院","京都府京都市左京区"
"旧武徳殿","文化施設","京都府京都市左京区"
"南禅寺方丈","寺院","京都府京都市左京区"
"金地院茶室","住宅","京都府京都市左京区"
"慈照寺東求堂","住宅","京都府京都市左京区"
"峰定寺仁王門","寺院","京都府京都市左京区"
"南禅寺勅使門","寺院","京都府京都市左京区"
"東照宮","神社","京都府京都市左京区"
"二条城","城郭","京都府京都市中京区"
"小川家住宅","民家","京都府京都市中京区"
"旧日本銀行京都支店","商業・業務","京都府京都市中京区"
"壬生寺大念仏堂（狂言舞台）","近代以前その他","京都府京都市中京区"
"法観寺五重塔（八坂塔）","寺院","京都府京都市東山区"
"清水寺本堂","寺院","京都府京都市東山区"
"六波羅蜜寺本堂","寺院","京都府京都市東山区"
"豊国神社唐門","神社","京都府京都市東山区"
"蓮華王院本堂（三十三間堂）","寺院","京都府京都市東山区"
"東福寺三門","寺院","京都府京都市東山区"
"知恩院勢至堂","寺院","京都府京都市東山区"
"建仁寺方丈","寺院","京都府京都市東山区"
"高台寺開山堂","寺院","京都府京都市東山区"
"八坂神社楼門","神社","京都府京都市東山区"
"多宝千仏石幢","近代以前その他","京都府京都市東山区"
"竜吟庵方丈","寺院","京都府京都市東山区"
"泉涌寺無縫塔","近代以前その他","京都府京都市東山区"
"安養寺宝塔","近代以前その他","京都府京都市東山区"
"地主神社","神社","京都府京都市東山区"
"雲竜院本堂","寺院","京都府京都市東山区"
"良正院","寺院","京都府京都市東山区"
"清水寺","寺院","京都府京都市東山区"
"蓮華王院南大門","寺院","京都府京都市東山区"
"東福寺禅堂（選仏場）","寺院","京都府京都市東山区"
"知恩院経蔵","寺院","京都府京都市東山区"
"建仁寺勅使門（矢の根門）","寺院","京都府京都市東山区"
"高台寺霊屋","神社","京都府京都市東山区"
"八坂神社本殿","神社","京都府京都市東山区"
"旧帝国京都博物館","文化施設","京都府京都市東山区"
"竜吟庵庫裏","寺院","京都府京都市東山区"
"泉涌寺仏殿","寺院","京都府京都市東山区"
"妙法院大書院","住宅","京都府京都市東山区"
"三聖寺愛染堂","寺院","京都府京都市東山区"
"知恩院三門","寺院","京都府京都市東山区"
"高台寺表門","寺院","京都府京都市東山区"
"八坂神社末社蛭子社社殿","神社","京都府京都市東山区"
"竜吟庵表門","寺院","京都府京都市東山区"
"泉涌寺大門","寺院","京都府京都市東山区"
"妙法院玄関","住宅","京都府京都市東山区"
"東福寺鐘楼","寺院","京都府京都市東山区"
"知恩院本堂（御影堂）","寺院","京都府京都市東山区"
"高台寺傘亭（安閑窟）及び時雨亭","住宅","京都府京都市東山区"
"八坂神社石鳥居","神社","京都府京都市東山区"
"泉涌寺開山塔及び開山堂","近代以前その他","京都府京都市東山区"
"妙法院庫裏","寺院","京都府京都市東山区"
"東福寺月下門（月華門）","寺院","京都府京都市東山区"
